Timestamp,Distance,FillPercent,Status,Alert,CollectionRequired,Priority
2026-06-09 17:49:31.220031,10.03,74.92,HALF FULL,0,0,MEDIUM
2026-06-09 17:57:31.442296,29.0,27.5,EMPTY,0,0,LOW
2026-06-09 17:57:52.285870,35.4,11.5,EMPTY,0,0,LOW
2026-06-09 18:01:48.550548,27.17,32.07,EMPTY,0,0,LOW
2026-06-09 18:02:09.422218,16.48,58.8,HALF FULL,0,0,MEDIUM
2026-06-09 18:02:30.278909,9.24,76.9,HALF FULL,0,0,MEDIUM
2026-06-09 18:02:51.128505,21.35,46.62,HALF FULL,0,0,MEDIUM
2026-06-09 18:03:11.985412,19.44,51.4,HALF FULL,0,0,MEDIUM
2026-06-09 18:03:32.825525,26.69,33.27,EMPTY,0,0,LOW
2026-06-09 18:03:53.674829,15.35,61.62,HALF FULL,0,0,MEDIUM
2026-06-09 18:04:14.532059,16.46,58.85,HALF FULL,0,0,MEDIUM
2026-06-09 18:04:35.380812,20.27,49.33,HALF FULL,0,0,MEDIUM
2026-06-09 18:04:56.217231,27.33,31.68,EMPTY,0,0,LOW
2026-06-09 18:05:17.057475,9.29,76.78,HALF FULL,0,0,MEDIUM
2026-06-09 18:05:37.889929,32.2,19.5,EMPTY,0,0,LOW
2026-06-09 18:05:58.755484,31.14,22.15,EMPTY,0,0,LOW
2026-06-09 18:06:19.961497,12.2,69.5,HALF FULL,0,0,MEDIUM
2026-06-09 18:06:40.920907,28.39,29.03,EMPTY,0,0,LOW
2026-06-09 18:07:01.842735,26.23,34.42,EMPTY,0,0,LOW
2026-06-09 18:07:22.723001,26.35,34.12,EMPTY,0,0,LOW
2026-06-09 18:07:43.632285,17.84,55.4,HALF FULL,0,0,MEDIUM
2026-06-09 18:08:04.525931,33.59,16.02,EMPTY,0,0,LOW
2026-06-09 18:08:25.355601,35.42,11.45,EMPTY,0,0,LOW
2026-06-09 18:08:46.225377,21.74,45.65,HALF FULL,0,0,MEDIUM
2026-06-09 18:09:07.431244,23.73,40.67,HALF FULL,0,0,MEDIUM
2026-06-09 18:09:28.582091,2.64,93.4,FULL,1,1,HIGH
2026-06-09 18:09:50.135937,29.41,26.47,EMPTY,0,0,LOW
2026-06-09 18:10:11.430064,23.04,42.4,HALF FULL,0,0,MEDIUM
2026-06-09 18:10:32.634080,35.45,11.37,EMPTY,0,0,LOW
2026-06-09 18:10:53.654592,38.91,2.73,EMPTY,0,0,LOW
2026-06-09 18:11:15.380721,33.4,16.5,EMPTY,0,0,LOW
2026-06-09 18:11:36.507605,13.49,66.27,HALF FULL,0,0,MEDIUM
2026-06-09 18:11:57.672881,26.33,34.18,EMPTY,0,0,LOW
2026-06-09 18:12:18.828563,21.16,47.1,HALF FULL,0,0,MEDIUM
2026-06-09 18:12:39.961617,34.92,12.7,EMPTY,0,0,LOW
2026-06-09 18:13:00.836464,14.67,63.32,HALF FULL,0,0,MEDIUM
